/*
 Contributor: @jmandrille
 Translator: ChatGPT
 Assets URI: https://www.dropbox.com/scl/fi/fyr51as7s6rc2kilp4pvo/2026-world-cup-assets.zip?rlkey=es7asqtdphrxjzl99e500khs3&dl=1
*/
play_date,home_team,away_team,stadium,match_type,home_team_photo,home_team_flag,home_team_link,home_team_group,home_team_group_order,home_team_is_real,away_team_photo,away_team_flag,away_team_link,away_team_group,away_team_group_order,away_team_is_real,stadium_photo
2026-06-11 19:00:00,Mexico,South Africa,Estadio Azteca,Group Stage,mexico.jpg,mx.png,,Group A,1,1,south-africa.jpg,za.png,,Group A,2,1,estadio-azteca.jpg
2026-06-12 02:00:00,South Korea,Czechia,Estadio Akron,Group Stage,south-korea.jpg,kr.png,,Group A,3,1,czechia.jpg,cz.png,,Group A,4,1,estadio-akron.jpg
2026-06-12 19:00:00,Canada,Bosnia-Herzegovina,BMO Field,Group Stage,canada.jpg,ca.png,,Group B,1,1,bosnia-herzegovina.jpg,ba.png,,Group B,2,1,bmo-field.jpg
2026-06-13 01:00:00,United States,Paraguay,SoFi Stadium,Group Stage,united-states.jpg,us.png,,Group D,1,1,paraguay.jpg,py.png,,Group D,2,1,sofi-stadium.jpg
2026-06-13 19:00:00,Qatar,Switzerland,Levi's Stadium,Group Stage,qatar.jpg,qa.png,,Group B,3,1,switzerland.jpg,ch.png,,Group B,4,1,levis-stadium.jpg
2026-06-13 22:00:00,Brazil,Morocco,MetLife Stadium,Group Stage,brazil.jpg,br.png,,Group C,3,1,morocco.jpg,ma.png,,Group C,4,1,metlife-stadium.jpg
2026-06-14 01:00:00,Haiti,Scotland,Gillette Stadium,Group Stage,haiti.jpg,ht.png,,Group C,1,1,scotland.jpg,sa.png,,Group C,2,1,gillette-stadium.jpg
2026-06-14 04:00:00,Australia,Türkiye,BC Place,Group Stage,australia.jpg,au.png,,Group D,3,1,turkiye.jpg,tr.png,,Group D,4,1,bc-place.jpg
2026-06-14 17:00:00,Germany,Curazao,NRG Stadium,Group Stage,germany.jpg,de.png,,Group E,3,1,curacao.jpg,cu.png,,Group E,4,1,nrg-stadium.jpg
2026-06-14 20:00:00,Netherlands,Japan,AT&T Stadium,Group Stage,netherlands.jpg,nl.png,,Group F,1,1,japan.jpg,jp.png,,Group F,2,1,at-and-t-stadium.jpg
2026-06-14 23:00:00,Ivory Coast,Ecuador,Lincoln Financial Field,Group Stage,ivory-coast.jpg,cr.png,,Group E,1,1,ecuador.jpg,ec.png,,Group E,2,1,lincoln-financial-field.jpg
2026-06-15 02:00:00,Sweden,Tunisia,Estadio BBVA,Group Stage,sweden.jpg,se.png,,Group F,3,1,tunisia.jpg,tn.png,,Group F,4,1,estadio-bbva.jpg
2026-06-15 16:00:00,Spain,Cape Verde,Mercedes-Benz Stadium,Group Stage,spain.jpg,es.png,,Group H,3,1,cape-verde.jpg,cv.png,,Group H,4,1,mercedes-benz-stadium.jpg
2026-06-15 19:00:00,Belgium,Egipto,Lumen Field,Group Stage,belgium.jpg,be.png,,Group G,3,1,egypt.jpg,eg.png,,Group G,4,1,lumen-field.jpg
2026-06-15 22:00:00,Saudi Arabia,Uruguay,Hard Rock Stadium,Group Stage,saudi-arabia.jpg,sa.png,,Group H,1,1,uruguay.jpg,uy.png,,Group H,2,1,hard-rock-stadium.jpg
2026-06-16 01:00:00,Iran,New Zealand,SoFi Stadium,Group Stage,iran.jpg,ir.png,,Group G,1,1,new-zealand.jpg,nz.png,,Group G,2,1,sofi-stadium.jpg
2026-06-16 19:00:00,France,Senegal,MetLife Stadium,Group Stage,france.jpg,fr.png,,Group I,1,1,senegal.jpg,sn.png,,Group I,2,1,metlife-stadium.jpg
2026-06-16 22:00:00,Iraq,Norway,Gillette Stadium,Group Stage,iraq.jpg,iq.png,,Group I,3,1,norway.jpg,no.png,,Group I,4,1,gillette-stadium.jpg
2026-06-17 01:00:00,Argentina,Algeria,Arrowhead Stadium,Group Stage,argentina.jpg,ar.png,,Group J,1,1,algeria.jpg,dz.png,,Group J,2,1,arrowhead-stadium.jpg
2026-06-17 04:00:00,Austria,Jordan,Levi's Stadium,Group Stage,austria.jpg,at.png,,Group J,3,1,jordan.jpg,jo.png,,Group J,4,1,levis-stadium.jpg
2026-06-17 17:00:00,Portugal,Congo DR,NRG Stadium,Group Stage,portugal.jpg,pt.png,,Group K,1,1,congo-dr.jpg,cd.png,,Group K,2,1,nrg-stadium.jpg
2026-06-17 20:00:00,England,Croatia,AT&T Stadium,Group Stage,england.jpg,gb.png,,Group L,3,1,croatia.jpg,hr.png,,Group L,4,1,at-and-t-stadium.jpg
2026-06-17 23:00:00,Ghana,Panama,BMO Field,Group Stage,ghana.jpg,gh.png,,Group L,1,1,panama.jpg,pa.png,,Group L,2,1,bmo-field.jpg
2026-06-18 02:00:00,Uzbekistan,Colombia,Estadio Azteca,Group Stage,uzbekistan.jpg,uz.png,,Group K,3,1,colombia.jpg,co.png,,Group K,4,1,estadio-azteca.jpg
2026-06-18 16:00:00,Czechia,South Africa,Mercedes-Benz Stadium,Group Stage,czechia.jpg,cz.png,,Group A,4,1,south-africa.jpg,za.png,,Group A,2,1,mercedes-benz-stadium.jpg
2026-06-18 19:00:00,Switzerland,Bosnia-Herzegovina,SoFi Stadium,Group Stage,switzerland.jpg,ch.png,,Group B,4,1,bosnia-herzegovina.jpg,ba.png,,Group B,2,1,sofi-stadium.jpg
2026-06-18 22:00:00,Canada,Qatar,BC Place,Group Stage,canada.jpg,ca.png,,Group B,1,1,qatar.jpg,qa.png,,Group B,3,1,bc-place.jpg
2026-06-19 01:00:00,Mexico,South Korea,Estadio Akron,Group Stage,mexico.jpg,mx.png,,Group A,1,1,south-korea.jpg,kr.png,,Group A,3,1,estadio-akron.jpg
2026-06-19 19:00:00,United States,Australia,Lumen Field,Group Stage,united-states.jpg,us.png,,Group D,1,1,australia.jpg,au.png,,Group D,3,1,lumen-field.jpg
2026-06-19 22:00:00,Scotland,Morocco,Gillette Stadium,Group Stage,scotland.jpg,sa.png,,Group C,2,1,morocco.jpg,ma.png,,Group C,4,1,gillette-stadium.jpg
2026-06-20 01:00:00,Brazil,Haiti,Lincoln Financial Field,Group Stage,brazil.jpg,br.png,,Group C,3,1,haiti.jpg,ht.png,,Group C,1,1,lincoln-financial-field.jpg
2026-06-20 04:00:00,Türkiye,Paraguay,Levi's Stadium,Group Stage,turkiye.jpg,tr.png,,Group D,4,1,paraguay.jpg,py.png,,Group D,2,1,levis-stadium.jpg
2026-06-20 17:00:00,Netherlands,Sweden,NRG Stadium,Group Stage,netherlands.jpg,nl.png,,Group F,1,1,sweden.jpg,se.png,,Group F,3,1,nrg-stadium.jpg
2026-06-20 20:00:00,Germany,Ivory Coast,BMO Field,Group Stage,germany.jpg,de.png,,Group E,3,1,ivory-coast.jpg,cr.png,,Group E,1,1,bmo-field.jpg
2026-06-21 00:00:00,Ecuador,Curazao,Arrowhead Stadium,Group Stage,ecuador.jpg,ec.png,,Group E,2,1,curacao.jpg,cu.png,,Group E,4,1,arrowhead-stadium.jpg
2026-06-21 04:00:00,Tunisia,Japan,Estadio BBVA,Group Stage,tunisia.jpg,tn.png,,Group F,4,1,japan.jpg,jp.png,,Group F,2,1,estadio-bbva.jpg
2026-06-21 16:00:00,Spain,Saudi Arabia,Mercedes-Benz Stadium,Group Stage,spain.jpg,es.png,,Group H,3,1,saudi-arabia.jpg,sa.png,,Group H,1,1,mercedes-benz-stadium.jpg
2026-06-21 19:00:00,Belgium,Iran,SoFi Stadium,Group Stage,belgium.jpg,be.png,,Group G,3,1,iran.jpg,ir.png,,Group G,1,1,sofi-stadium.jpg
